Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
2025-04-25 00:00:00+00:00,93986.8828125,93986.8828125,93986.8828125,93986.8828125,0,0.0,0.0,,,,,,,93986.8828125,,
2025-04-25 00:01:00+00:00,93971.96875,93971.96875,93971.96875,93971.96875,2969600,0.0,0.0,,,,,,,93979.42578125,,
2025-04-25 00:02:00+00:00,93937.71875,93937.71875,93937.71875,93937.71875,0,0.0,0.0,,,,,,,93962.30078125,,
2025-04-25 00:03:00+00:00,93959.921875,93959.921875,93959.921875,93959.921875,636637184,0.0,0.0,,,,,,,93962.30078125,,
2025-04-25 00:04:00+00:00,93949.0234375,93949.0234375,93949.0234375,93949.0234375,26212352,0.0,0.0,,,,,,,93962.30078125,,
2025-04-25 00:05:00+00:00,93928.4921875,93928.4921875,93928.4921875,93928.4921875,43970560,0.0,0.0,,,,,,,93957.6875,,
2025-04-25 00:06:00+00:00,93902.4296875,93902.4296875,93902.4296875,93902.4296875,0,0.0,0.0,,,,,,,93944.65625,,
2025-04-25 00:07:00+00:00,93865.34375,93865.34375,93865.34375,93865.34375,731013120,0.0,0.0,,,,,,,93926.11328125,,
2025-04-25 00:08:00+00:00,93833.3671875,93833.3671875,93833.3671875,93833.3671875,0,0.0,0.0,,,,,93910.125,,93910.125,,
2025-04-25 00:09:00+00:00,93786.6640625,93786.6640625,93786.6640625,93786.6640625,0,0.0,0.0,,,,,93879.31640625,,93886.7734375,,
2025-04-25 00:10:00+00:00,93771.7109375,93771.7109375,93771.7109375,93771.7109375,954517504,0.0,0.0,,,,,93865.81640625,,93879.296875,,
2025-04-25 00:11:00+00:00,93707.9765625,93707.9765625,93707.9765625,93707.9765625,0,0.0,0.0,,,,,93833.94921875,,93847.4296875,,
2025-04-25 00:12:00+00:00,93701.28125,93701.28125,93701.28125,93701.28125,0,0.0,0.0,,,,,93825.15234375,,93844.08203125,,
2025-04-25 00:13:00+00:00,93692.953125,93692.953125,93692.953125,93692.953125,210184192,0.0,0.0,4.674677930248137,,,,93810.72265625,,93839.91796875,,
2025-04-25 00:14:00+00:00,93694.3984375,93694.3984375,93694.3984375,93694.3984375,116815872,0.0,0.0,5.325651255580752,,,,93797.69140625,,93839.91796875,,
2025-04-25 00:15:00+00:00,93707.1484375,93707.1484375,93707.1484375,93707.1484375,463515648,0.0,0.0,11.093595682316817,,,,93779.1484375,,93839.91796875,,
2025-04-25 00:16:00+00:00,93695.3671875,93695.3671875,93695.3671875,93695.3671875,0,0.0,0.0,10.459485215405877,,,,93763.16015625,,93839.91796875,,
2025-04-25 00:17:00+00:00,93608.3125,93608.3125,93608.3125,93608.3125,453754880,0.0,0.0,7.189339766809482,,,,93697.48828125,,93797.59765625,,
2025-04-25 00:18:00+00:00,93605.8984375,93605.8984375,93605.8984375,93605.8984375,0,0.0,0.0,7.122835318532154,,,,93688.8046875,,93796.390625,,
2025-04-25 00:19:00+00:00,93626.46875,93626.46875,93626.46875,93626.46875,691023872,0.0,0.0,14.389972921083555,,,,93656.9375,,93796.390625,94053.30446897981,93540.0283435202
2025-04-25 00:20:00+00:00,93663.4296875,93663.4296875,93663.4296875,93663.4296875,32387072,0.0,0.0,25.647360023234555,,,,93656.5234375,,93796.390625,94027.74023512022,93533.24726487977
2025-04-25 00:21:00+00:00,93731.53125,93731.53125,93731.53125,93731.53125,59742208,0.0,0.0,41.033146508653374,,,,93668.71484375,,93796.390625,94000.20373005341,93536.74001994659
2025-04-25 00:22:00+00:00,93712.6015625,93712.6015625,93712.6015625,93712.6015625,0,0.0,0.0,38.639677271454644,,,,93668.71484375,,93796.390625,93976.5063997957,93537.9256314543
2025-04-25 00:23:00+00:00,93713.1328125,93713.1328125,93713.1328125,93713.1328125,6723584,0.0,0.0,38.747660396723525,,,,93668.71484375,,93796.390625,93943.99953166879,93545.7535933312
2025-04-25 00:24:00+00:00,93718.9140625,93718.9140625,93718.9140625,93718.9140625,0,0.0,0.0,39.9854094294699,,,,93668.71484375,,93796.390625,93909.21214291875,93557.53004458125
2025-04-25 00:25:00+00:00,93698.984375,93698.984375,93698.984375,93698.984375,133087232,0.0,0.0,37.195059956318595,-55.627851466444554,,93796.390625,93668.71484375,93732.552734375,93796.390625,93873.60390083634,93570.18750541366
2025-04-25 00:26:00+00:00,93676.8515625,93676.8515625,93676.8515625,93676.8515625,0,0.0,0.0,34.32989076424215,-53.948881681702915,,93788.93359375,93668.71484375,93728.82421875,93796.390625,93838.65512459802,93582.57846915197
2025-04-25 00:27:00+00:00,93676.1015625,93676.1015625,93676.1015625,93676.1015625,154411008,0.0,0.0,34.23365696184108,-52.07847650354961,,93782.91015625,93679.0,93730.955078125,93796.390625,93808.32679948318,93593.98257551683
2025-04-25 00:28:00+00:00,93679.234375,93679.234375,93679.234375,93679.234375,13471744,0.0,0.0,35.052639334495524,-49.769661460784846,,93782.91015625,93697.48046875,93740.1953125,93796.390625,93782.03903590218,93604.85705784781
