Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-01-18,41262.05859375,42876.34765625,40631.171875,42742.3125,25218357242,36.15383189286992,,,,44800.271484375,,44800.271484375,,
2024-01-19,41618.40625,42134.16015625,40297.45703125,41278.4609375,25752407154,38.552983209045586,,,,44633.4140625,,44633.4140625,,
2024-01-20,41665.5859375,41877.89453125,41446.82421875,41624.58984375,11586690904,38.88045114281562,,,,43397.796875,,44633.4140625,47132.477483490045,40347.76431338495
2024-01-21,41545.78515625,41855.3671875,41497.0078125,41671.48828125,9344043642,38.321974356343866,,,,41931.865234375,,44633.4140625,47125.55860789852,40092.52850147648
2024-01-22,39507.3671875,41651.20703125,39450.1171875,41553.65234375,31338708143,30.337127960429612,,,,41508.1953125,,44209.744140625,47218.47400099439,39454.5529521306
2024-01-23,39845.55078125,40127.3515625,38521.89453125,39518.71484375,29244553045,32.83741612637533,,,,41044.083984375,,43745.6328125,47354.01096619627,39018.75348692873
2024-01-24,40077.07421875,40483.78515625,39508.796875,39877.59375,22359526178,34.56882842033433,,,,41044.083984375,,43745.6328125,47332.89823721373,38629.58145028627
2024-01-25,39933.80859375,40254.48046875,39545.6640625,40075.55078125,18491782013,33.984990929538625,,,,40855.892578125,,43745.6328125,47279.37419349118,38260.21721275881
2024-01-26,41816.87109375,42209.38671875,39825.69140625,39936.81640625,25598119893,46.72188622853652,-1006.6879014248989,,43745.6328125,40699.12109375,42222.376953125,43745.6328125,47152.652993881726,38169.70599049327
2024-01-27,42120.0546875,42195.6328125,41431.28125,41815.625,11422941934,48.446549346615484,-871.1807003379945,,43745.6328125,40365.640625,42055.63671875,43745.6328125,47027.60513160085,38112.44955589915
2024-01-28,42035.59375,42797.17578125,41696.91015625,42126.125,16858971687,47.9805816308041,-761.8237292546619,,43745.6328125,40659.53515625,42202.583984375,43745.6328125,46299.555394188,38347.008277687004
2024-01-29,43288.24609375,43305.8671875,41818.33203125,42030.9140625,20668476578,54.90772901347082,-567.536756063957,,43745.6328125,40913.880859375,42329.7568359375,43745.6328125,45786.621779924215,38574.79345445079
2024-01-30,42952.609375,43838.9453125,42711.37109375,43300.2265625,23842814518,52.875975933459465,-435.6244012870375,,43745.6328125,41180.419921875,42463.0263671875,43745.6328125,45002.18281818966,38991.71561931034
2024-01-31,42582.60546875,43717.40625,42298.9453125,42946.25,24673628793,50.65089361436769,-356.8258662619701,,43745.6328125,41180.419921875,42463.0263671875,43745.6328125,44073.58259381685,39541.717796808145
2024-02-01,43075.7734375,43243.16796875,41879.19140625,42569.76171875,21423953779,53.46194723555279,-251.6816961139848,,43745.6328125,41673.87109375,42709.751953125,43745.6328125,44107.2209707524,39530.339966747604
2024-02-02,43185.859375,43422.48828125,42584.3359375,43077.640625,18603843039,54.09060327219591,-157.65383336426748,,43745.6328125,41692.3046875,42718.96875,43745.6328125,44159.74619058488,39512.16240316512
2024-02-03,42992.25,43359.94140625,42890.80859375,43184.96484375,11169245236,52.74122317142852,-97.63327755335195,-431.76160902138434,43745.6328125,41832.318359375,42788.9755859375,43745.6328125,44273.31384466177,39518.19279596323
2024-02-04,42583.58203125,43097.64453125,42374.83203125,42994.94140625,14802225490,49.910895374012725,-82.09628942453128,-361.8285451020137,43745.6328125,42635.11328125,43190.373046875,43745.6328125,44280.80834667337,39517.85962207663
2024-02-05,42658.66796875,43494.25,42264.81640625,42577.62109375,18715487317,50.437173472253676,-62.99810383159638,-302.06245684793026,43745.6328125,42767.927734375,43256.7802734375,43745.6328125,44213.10150015613,39535.93873421887
2024-02-06,43084.671875,43344.1484375,42529.01953125,42657.390625,16798476726,53.42699940698982,-13.33399320942408,-244.31676412022904,42510.015625,42828.638671875,42669.3271484375,43745.6328125,44260.15563096873,39523.08655653127
2024-02-07,44318.22265625,44341.94921875,42775.95703125,43090.01953125,21126587775,60.8008541383976,124.13150043426867,-170.6271112093295,41431.921875,43110.5703125,42271.24609375,43745.6328125,44616.386471202175,39472.47212254783
